id,title,severity,area,description,evidence,fix,owner,due_date
S0-001,High-Severity Dependency Vulnerabilities,S0,Security,"Next.js 14.2.5 has HIGH severity CVE-2024-46982 (cache poisoning), esbuild and other dependencies have known vulnerabilities","pnpm audit output shows 6+ high-severity advisories including Next.js cache poisoning (CVSS 7.5), esbuild vulnerabilities, @supabase/auth-js issues","Update Next.js to >=14.2.10, update all dependencies with CVEs to latest patched versions, run pnpm audit after updates",DevOps/Security,Before Staging
S1-002,Missing Dependabot/Renovate Configuration,S1,Security/Operations,"No automated dependency update configuration; security vulnerabilities will accumulate over time without manual intervention","No .github/dependabot.yml or renovate.json file present in repository","Add Dependabot config with weekly schedule, enable security updates, configure auto-merge for patch versions with passing CI",DevOps,Before Production
S1-003,Docker Container Runs as Root,S1,Security/Infrastructure,"agents-service Dockerfile runs build stages as root user, increasing risk of container escape and privilege escalation","agents-service/Dockerfile shows USER node only in final runtime stage (line 49), deps and build stages run as root","Add USER node directive after RUN npm ci in deps stage, use --chown=node:node in COPY commands, validate with docker run --user check",DevOps,Before Production
S1-004,Missing .dockerignore,S1,Security/Build,"No .dockerignore file; secrets, .env files, tests, and unnecessary files may leak into Docker image","No .dockerignore file in agents-service/ directory","Create .dockerignore excluding .env*, secrets*, node_modules, tests, *.test.*, .git, README.md, docs, coverage",DevOps,Before Production
S1-005,Missing CodeQL/SAST Workflow,S1,Security,"No static application security testing in CI/CD pipeline; security vulnerabilities go undetected until manual review","No .github/workflows/codeql.yml or equivalent SAST workflow","Add CodeQL workflow for JavaScript/TypeScript analysis, configure to run on push to main and PRs, set security-events write permission",DevOps/Security,Before Production
S1-006,Missing SECURITY.md,S1,Security/Documentation,"No security policy file for responsible vulnerability disclosure; researchers don't know how to report security issues","No SECURITY.md file in repository root","Create SECURITY.md with vulnerability reporting process, supported versions, response SLA, and contact information",Security/Compliance,Before Public Deployment
S1-007,Missing SUPPORT.md and CODEOWNERS,S1,Operations/Documentation,"No support documentation or code ownership defined; unclear escalation paths and accountability","No SUPPORT.md in root, no .github/CODEOWNERS file","Create SUPPORT.md with support channels and SLAs, create CODEOWNERS with team/individual ownership per directory",Operations,Before Production
S1-008,No SBOM Generation in CI,S1,Security/Compliance,"No Software Bill of Materials generation in CI/CD; supply chain visibility and compliance requirements unmet","No SBOM generation workflow in .github/workflows/","Add workflow to generate CycloneDX or SPDX SBOM on releases, upload as artifact, commit to docs/sbom/ directory",DevOps/Security,Before Production
S1-009,No Coverage Gate in CI,S1,Quality,"Tests run in CI but no coverage enforcement (target ≥80%); quality can drift without visibility","ci.yml runs tests but doesn't collect or enforce coverage thresholds","Add vitest coverage collection with --coverage flag, add coverage gate with minimum 80% or current+10% threshold, fail CI if below",Engineering,Before Production
S1-010,Missing Release Runbook,S1,Operations,"No formal release procedures, rollback plan, or smoke tests documented; risk of failed deployments and extended outages","No docs/release-runbook.md file","Create comprehensive release runbook with: build → test → stage → prod steps, roll-forward/rollback procedures, smoke tests, on-call handoff",Operations/SRE,Before Production
S1-011,No Alert Definitions,S1,Operations/Observability,"No documented alert configurations for PagerDuty/Opsgenie; incidents may go undetected or have delayed response","No alerts/ directory or alert definitions in runbooks","Document alert definitions for: payment failures >1%, receipt generation >5s p95, agent hallucinations >0.5%, database CPU >80%, configure in monitoring tool",SRE,Before Production
S2-012,No CSP Headers,S2,Security/Web,"No Content-Security-Policy headers defined for web application; XSS risk not mitigated at transport layer","No CSP meta tag in index.html, no CSP configuration in Vite config or deployment","Add CSP headers: default-src 'self', script-src 'self', style-src 'self' 'unsafe-inline', connect-src 'self' *.supabase.co *.stripe.com",Frontend/DevOps,Within 30 Days
S2-013,No HSTS Configuration,S2,Security/Web,"No HTTP Strict-Transport-Security headers; man-in-the-middle downgrade attacks possible","No HSTS configuration in deployment or reverse proxy settings","Add HSTS header: max-age=31536000; includeSubDomains; preload, submit to HSTS preload list",DevOps,Within 30 Days
S2-014,Mobile Network Security Config Not Verified,S2,Security/Mobile,"Mobile app network security configuration not explicitly verified; cleartext traffic may be allowed","No networkSecurityConfig.xml in Android res/xml, iOS ATS settings not documented","For Android: Add networkSecurityConfig with cleartextTrafficPermitted=false. For iOS: Verify NSAllowsArbitraryLoads=false in Info.plist",Mobile/Security,Within 30 Days
S2-015,No Documented Secret Rotation Procedures,S2,Security/Operations,"No procedures for rotating API keys, database credentials, or JWT secrets; compromised secrets cannot be quickly rotated","No docs/security/secret-rotation.md or equivalent procedures","Document secret rotation procedures for: Supabase keys, Stripe keys, OpenAI keys, database passwords, JWT signing keys, test rotation annually",Security/Operations,Within 30 Days
S2-016,Rate Limiting Not Explicit,S2,Security/Reliability,"No explicit rate limiting configuration on Edge Functions beyond Supabase defaults; abuse/DoS risk","Edge Functions rely on Supabase platform rate limits, no custom middleware","Document Supabase rate limits, add custom rate limiting middleware to critical endpoints (auth, payments), implement per-tenant quotas",Backend/Security,Within 30 Days
S2-017,Log Sanitization Not Verified,S2,Security/Privacy,"No verification that logs don't leak PII or secrets; potential GDPR violations and secret exposure","Logging exists but no explicit sanitization middleware or tests","Audit all log statements, add sanitization middleware to redact PII (email, phone, payment details) and secrets, add tests to verify",Backend/Compliance,Within 30 Days
